Id,preco
0,1507930.4494300322
1,196369.29076439037
2,603733.245013821
3,246581.49015227176
4,446991.4232154932
5,76101.57238532818
6,821868.7683634352
7,440040.1604532859
8,378145.6751815934
9,1287724.3220139565
10,628322.2516741367
11,565177.7049234569
12,1238625.6570278127
13,365433.0825688837
14,894777.6830883267
15,576141.1273974217
16,395335.15059299726
17,399091.55914635275
18,460242.5156142184
19,778619.4175456561
20,877199.7300830616
21,369889.9933154718
22,402216.91831206257
23,393889.5219198624
24,105763.07948024198
25,301839.9184551497
26,557070.0402504572
27,559764.6758329867
28,752053.8646371228
29,758112.5034393776
30,385959.0730958679
31,1661151.0522271008
32,1854108.8783837063
33,1571681.3801743775
34,1500729.7495582611
35,469854.25036930805
36,525752.9640809011
37,1773394.1109470325
38,518557.64008975076
39,528310.7583714232
40,1671887.9628331992
41,779580.1808299952
42,395955.9505910413
43,1545115.8272658442
44,1121090.4807772525
45,83786.38791765648
46,3815441.975308978
47,564883.4381647317
48,276100.0236942137
49,458249.11244818324
50,544568.603587618
51,381271.0343473032
52,605778.1695562486
53,745929.9989292442
54,1140235.4528087191
55,440859.31123231386
56,661637.6372991459
57,470285.1610692673
58,974085.8642200652
59,1715447.9017970283
60,1672624.5036723
61,561127.0296113761
62,1247950.1959135998
63,2030360.9091445422
64,439296.6316494589
65,475238.2620551216
66,578197.8986745398
67,1210290.9717998998
68,889701.1667459008
69,235011.6836846418
70,1495177.7467122083
71,215678.89080502716
72,503366.4945465098
73,635204.0193932022
74,433045.9133180395
75,1806956.3382970565
76,189368.9166970848
77,439721.22830058006
78,156029.32827591692
79,524253.76901050436
80,556438.9908628114
81,542256.2682688771
82,413916.7175392375
83,1731837.5702079139
84,1896660.1239074315
85,459034.09963756404
86,436171.2724837493
87,974231.9029394033
88,557070.0402504572
89,416424.00278182316
90,628270.7130627941
91,1081278.2253113543
92,136987.46661590427
93,355273.04631395754
94,-7676.553978392083
95,753696.0263274708
96,1383587.390344909
97,1739935.5806055996
98,407854.4607629396
99,586011.2965888142
100,627509.2278271678
101,442622.3166196343
102,1521034.782421554
103,721357.849186746
104,528511.0841758888
105,1096905.021139903
106,896883.5152725294
107,1225486.8569284896
108,441680.43703482335
109,567377.7479427957
110,540760.6564229198
111,984697.2904656591
112,438158.5487177252
113,533625.1010567326
114,795316.4132763834
115,405577.9347357327
116,566446.1177475866
117,2015550.8367887768
118,1367147.5706693907
119,389715.48164922337
120,1550716.017640233
121,364089.15932976693
122,413936.04875350563
123,176986.08638248593
124,153545.89263966246
125,816980.4038104049
126,472930.1922764708
127,1731837.5702079139
128,404394.62724149437
129,1283011.7347353958
130,1274896.4518781034
131,2159843.6898688492
132,794496.1942387222
133,1430815.7671495802
134,1552298.175792473
135,541899.6415453256
136,396785.8516285986
137,2311711.601877323
138,929456.9194730713
139,442421.9908151687
140,1806083.317602612
141,466482.9845560363
142,147984.8331966535
143,1266620.9099636008
144,708897.5212455497
145,588840.9652392585
146,180742.49493584142
147,1792840.6834400198
148,604505.0171467701
149,1474164.1966497279
150,529000.4172598339
151,681490.6110161449
152,729725.8365116867
153,957717.870891763
154,541443.2444219083
155,728964.794364496
156,551868.0030239668
157,459611.46622657264
158,575391.4716615357
159,1811644.3770456212
160,1408720.7308233483
161,525752.9640809011
162,960955.510360381
163,539292.2155440601
164,384344.85490167036
165,389084.4322615777
166,359967.4408122687
167,659465.6952191271
168,466062.5103624577
169,1144359.3292504842
170,604505.0171467701
171,464499.83077960287
172,608007.4170970231
173,824793.8017246794
174,559564.3500285213
175,1857020.694449178
176,859379.2052840119
177,436171.2724837493
178,1578259.4888946358
